Gene ,Gene Name,miRNA ,Target Score,Human
Lipo3,"lipase, member O3",miR-672-3p,81,
Rps6ka2,"ribosomal protein S6 kinase, polypeptide 2",miR-672-3p,81,✓
Iqsec1,IQ motif and Sec7 domain 1,miR-672-3p,81,✓
Mnt,max binding protein,miR-672-3p,81,✓
Zbtb34,zinc finger and BTB domain containing 34,miR-672-3p,81,✓
Sbno1,strawberry notch 1,miR-672-3p,81,✓
Klhl9,kelch-like 9,miR-672-3p,81,✓
Kirrel,kirre like nephrin family adhesion molecule 1,miR-672-3p,81,✓
Dcp2,decapping mRNA 2,miR-672-3p,81,✓
Cmpk2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",miR-672-3p,81,✓
Spin1,spindlin 1,miR-672-3p,81,✓
Crb3,crumbs family member 3,miR-672-3p,81,✓
Blmh,bleomycin hydrolase,miR-672-3p,81,✓
Crispld2,cysteine-rich secretory protein LCCL domain containing 2,miR-672-3p,81,✓
Dkk1,dickkopf WNT signaling pathway inhibitor 1,miR-672-3p,81,✓
Creb1,cAMP responsive element binding protein 1,miR-672-3p,81,✓
Irx2,Iroquois homeobox 2,miR-672-3p,81,✓
Chd5,chromodomain helicase DNA binding protein 5,miR-672-3p,81,✓
Igsf9b,"immunoglobulin superfamily, member 9B",miR-672-3p,81,✓
Tnrc18,trinucleotide repeat containing 18,miR-672-3p,81,✓
Fam219a,"family with sequence similarity 219, member A",miR-672-3p,81,✓
LOC100861615,alpha takusan-like,miR-125a-3p,81,
Gkn1,gastrokine 1,miR-125a-3p,81,✓
Adam28,a disintegrin and metallopeptidase domain 28,miR-125a-3p,81,✓
Fstl1,follistatin-like 1,miR-125a-3p,81,✓
Lipk,"lipase, family member K",miR-125a-3p,81,✓
Tcerg1,transcription elongation regulator 1 (CA150),miR-125a-3p,81,✓
Eif6,eukaryotic translation initiation factor 6,miR-125a-3p,81,✓
Slc6a17,"solute carrier family 6 (neurotransmitter transporter), member 17",miR-125a-3p,81,✓
Gm3696,predicted gene 3696,miR-125a-3p,81,
Cldn12,claudin 12,miR-125a-3p,81,✓
Phyh,phytanoyl-CoA hydroxylase,miR-125a-3p,81,✓
Mycl,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived,miR-125a-3p,81,✓
4930555G01Rik,RIKEN cDNA 4930555G01 gene,miR-125a-3p,81,
40787,septin 11,miR-125a-3p,81,✓
B230219D22Rik,RIKEN cDNA B230219D22 gene,miR-92b-3p,81,
Rab23,"RAB23, member RAS oncogene family",miR-92b-3p,81,✓
Tmem87a,transmembrane protein 87A,miR-92b-3p,81,✓
Cacna1h,"calcium channel, voltage-dependent, T type, alpha 1H subunit",miR-92b-3p,81,✓
Kcnd2,"potassium voltage-gated channel, Shal-related family, member 2",miR-92b-3p,81,✓
Stx17,syntaxin 17,miR-92b-3p,81,✓
Slc38a2,"solute carrier family 38, member 2",miR-92b-3p,81,✓
Klhdc10,kelch domain containing 10,miR-92b-3p,81,✓
Tead1,TEA domain family member 1,miR-92b-3p,81,✓
P2ry13,"purinergic receptor P2Y, G-protein coupled 13",miR-92b-3p,81,✓
Mylip,myosin regulatory light chain interacting protein,miR-92b-3p,81,✓
Notch1,notch 1,miR-92b-3p,81,✓
Prkar1a,"protein kinase, cAMP dependent regulatory, type I, alpha",miR-92b-3p,81,✓
Slc16a2,"solute carrier family 16 (monocarboxylic acid transporters), member 2",miR-744-3p,81,✓
Galnt6,polypeptide N-acetylgalactosaminyltransferase 6,miR-744-3p,81,✓
Epm2aip1,EPM2A (laforin) interacting protein 1,miR-744-3p,81,✓
Mfsd14b,major facilitator superfamily domain containing 14B,miR-744-3p,81,✓
Cyld,CYLD lysine 63 deubiquitinase,miR-301a-3p,81,✓
Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5",miR-301a-3p,81,✓
Mapk8,mitogen-activated protein kinase 8,miR-301a-3p,81,✓
Relch,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",miR-301a-3p,81,✓
Prr14l,proline rich 14-like,miR-301a-3p,81,✓
Gpatch8,G patch domain containing 8,miR-301a-3p,81,✓
Tgfbr1,"transforming growth factor, beta receptor I",miR-301a-3p,81,✓
Socs6,suppressor of cytokine signaling 6,miR-301a-3p,81,✓
Elk3,"ELK3, member of ETS oncogene family",miR-301a-3p,81,✓
Phf3,PHD finger protein 3,miR-301a-3p,81,✓
Npnt,nephronectin,miR-301a-3p,81,✓
Syt4,synaptotagmin IV,miR-743b-3p,80,✓
Rapgef2,Rap guanine nucleotide exchange factor (GEF) 2,miR-743b-3p,80,✓
Zfp606,zinc finger protein 606,miR-743b-3p,80,
Pcnp,PEST proteolytic signal containing nuclear protein,miR-743b-3p,80,✓
Pde7a,phosphodiesterase 7A,miR-743b-3p,80,✓
Lancl1,LanC (bacterial lantibiotic synthetase component C)-like 1,miR-743b-3p,80,✓
Cop1,"COP1, E3 ubiquitin ligase",miR-743b-3p,80,✓
Srpk2,serine/arginine-rich protein specific kinase 2,miR-743b-3p,80,✓
Pcdhb20,protocadherin beta 20,miR-743b-3p,80,
Zfp148,zinc finger protein 148,miR-743b-3p,80,
Gm9573,predicted gene 9573,miR-743b-3p,80,
Clock,circadian locomotor output cycles kaput,miR-743b-3p,80,✓
Kcna4,"potassium voltage-gated channel, shaker-related subfamily, member 4",miR-743b-3p,80,✓
Fbxo4,F-box protein 4,miR-743b-3p,80,✓
Ftsj1,FtsJ RNA methyltransferase homolog 1 (E. coli),miR-743b-3p,80,✓
Sod2,"superoxide dismutase 2, mitochondrial",miR-743b-3p,80,✓
Tenm4,teneurin transmembrane protein 4,miR-743b-3p,80,✓
Pex13,peroxisomal biogenesis factor 13,miR-743b-3p,80,✓
Mprip,myosin phosphatase Rho interacting protein,miR-743b-3p,80,✓
Iws1,"IWS1, SUPT6 interacting protein",miR-743b-3p,80,✓
Slc12a5,"solute carrier family 12, member 5",miR-1981-3p,80,✓
Azi2,5-azacytidine induced gene 2,miR-1981-3p,80,✓
Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",miR-1981-3p,80,✓
Dcaf11,DDB1 and CUL4 associated factor 11,miR-1981-3p,80,✓
Fancl,"Fanconi anemia, complementation group L",miR-1981-3p,80,✓
Pkn2,protein kinase N2,miR-192-3p,80,✓
Zfp91,zinc finger protein 91,miR-192-3p,80,✓
Rtel1,regulator of telomere elongation helicase 1,miR-192-3p,80,✓
Cd38,CD38 antigen,miR-192-3p,80,✓
Fancm,"Fanconi anemia, complementation group M",miR-192-3p,80,✓
Rbm18,RNA binding motif protein 18,miR-192-3p,80,✓
Lingo2,leucine rich repeat and Ig domain containing 2,miR-192-3p,80,✓
Lipf,"lipase, gastric",miR-192-3p,80,✓
Sec61a1,Sec61 alpha 1 subunit (S. cerevisiae),miR-192-3p,80,✓
Zeb2,zinc finger E-box binding homeobox 2,miR-192-3p,80,✓
Mrgprf,"MAS-related GPR, member F",miR-547-3p,80,✓
Pld5,"phospholipase D family, member 5",miR-547-3p,80,✓
Ccdc120,coiled-coil domain containing 120,miR-547-3p,80,✓
Pou3f2,"POU domain, class 3, transcription factor 2",miR-547-3p,80,✓
Onecut2,"one cut domain, family member 2",miR-547-3p,80,✓
Atp8b2,"ATPase, class I, type 8B, member 2",miR-547-3p,80,✓
Camta1,calmodulin binding transcription activator 1,miR-547-3p,80,✓
Micu3,"mitochondrial calcium uptake family, member 3",miR-547-3p,80,✓
4931406P16Rik,RIKEN cDNA 4931406P16 gene,miR-547-3p,80,
Usp15,ubiquitin specific peptidase 15,miR-672-3p,80,✓
Ubfd1,ubiquitin family domain containing 1,miR-672-3p,80,✓
Dlk1,delta like non-canonical Notch ligand 1,miR-672-3p,80,✓
Pou3f4,"POU domain, class 3, transcription factor 4",miR-672-3p,80,✓
Rbm8a,RNA binding motif protein 8a,miR-672-3p,80,✓
Gtpbp1,GTP binding protein 1,miR-672-3p,80,✓
Dnajc25,DnaJ heat shock protein family (Hsp40) member C25,miR-672-3p,80,✓
Lhfpl2,lipoma HMGIC fusion partner-like 2,miR-672-3p,80,✓
Kif3b,kinesin family member 3B,miR-672-3p,80,✓
Leng8,leukocyte receptor cluster (LRC) member 8,miR-672-3p,80,✓
Ccng2,cyclin G2,miR-672-3p,80,✓
Tbl1x,transducin (beta)-like 1 X-linked,miR-672-3p,80,✓
Il1rap,interleukin 1 receptor accessory protein,miR-672-3p,80,✓
Hook3,hook microtubule tethering protein 3,miR-672-3p,80,✓
Hoxb8,homeobox B8,miR-672-3p,80,✓
Heatr5a,HEAT repeat containing 5A,miR-672-3p,80,✓
St8sia4,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",miR-672-3p,80,✓
Slc22a15,"solute carrier family 22 (organic anion/cation transporter), member 15",miR-672-3p,80,✓
Snip1,Smad nuclear interacting protein 1,miR-672-3p,80,✓
Msrb3,methionine sulfoxide reductase B3,miR-672-3p,80,✓
Klhl12,kelch-like 12,miR-672-3p,80,✓
Ankrd44,ankyrin repeat domain 44,miR-672-3p,80,✓
Kif2a,kinesin family member 2A,miR-672-3p,80,✓
Sdc2,syndecan 2,miR-672-3p,80,✓
Zeb2,zinc finger E-box binding homeobox 2,miR-672-3p,80,✓
Glg1,golgi apparatus protein 1,miR-125a-3p,80,✓
Lamp5,"lysosomal-associated membrane protein family, member 5",miR-125a-3p,80,✓
Sh2b2,SH2B adaptor protein 2,miR-125a-3p,80,✓
Nova1,neuro-oncological ventral antigen 1,miR-92b-3p,80,✓
Myo18a,myosin XVIIIA,miR-92b-3p,80,✓
Myh9,"myosin, heavy polypeptide 9, non-muscle",miR-92b-3p,80,✓
Trak2,"trafficking protein, kinesin binding 2",miR-92b-3p,80,✓
Rora,RAR-related orphan receptor alpha,miR-92b-3p,80,✓
Nek1,NIMA (never in mitosis gene a)-related expressed kinase 1,miR-92b-3p,80,✓
Glrb,"glycine receptor, beta subunit",miR-92b-3p,80,✓
Chmp7,charged multivesicular body protein 7,miR-92b-3p,80,✓
Ptprj,"protein tyrosine phosphatase, receptor type, J",miR-92b-3p,80,✓
Arhgef17,Rho guanine nucleotide exchange factor (GEF) 17,miR-92b-3p,80,✓
Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",miR-92b-3p,80,✓
Pla2g10,"phospholipase A2, group X",miR-92b-3p,80,✓
Snx25,sorting nexin 25,miR-92b-3p,80,✓
Zfp512b,zinc finger protein 512B,miR-92b-3p,80,
Pank3,pantothenate kinase 3,miR-92b-3p,80,✓
Zfp93,zinc finger protein 93,miR-744-3p,80,✓
Endou,"endonuclease, polyU-specific",miR-744-3p,80,✓
Tmem140,transmembrane protein 140,miR-744-3p,80,✓
Eogt,EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase,miR-301a-3p,80,✓
Bmt2,base methyltransferase of 25S rRNA 2,miR-301a-3p,80,✓
Ldhb,lactate dehydrogenase B,miR-301a-3p,80,✓
Tet3,tet methylcytosine dioxygenase 3,miR-301a-3p,80,✓
Ralgps2,Ral GEF with PH domain and SH3 binding motif 2,miR-301a-3p,80,✓
Thsd7a,"thrombospondin, type I, domain containing 7A",miR-301a-3p,80,✓
Ppp6r1,"protein phosphatase 6, regulatory subunit 1",miR-301a-3p,80,✓
Spopl,speckle-type POZ protein-like,miR-301a-3p,80,✓
Cds1,CDP-diacylglycerol synthase 1,miR-301a-3p,80,✓
Snip1,Smad nuclear interacting protein 1,miR-301a-3p,80,✓
Clcn3,"chloride channel, voltage-sensitive 3",miR-301a-3p,80,✓
Camta1,calmodulin binding transcription activator 1,miR-301a-3p,80,✓
Mier1,MEIR1 treanscription regulator,miR-301a-3p,80,✓
Nhlh2,nescient helix loop helix 2,miR-301a-3p,80,✓
Pde12,phosphodiesterase 12,miR-301a-3p,80,✓
Il25,interleukin 25,miR-301a-3p,80,✓
Zcchc14,"zinc finger, CCHC domain containing 14",miR-301a-3p,80,✓
Mboat1,membrane bound O-acyltransferase domain containing 1,miR-743b-3p,79,✓
Cpsf6,cleavage and polyadenylation specific factor 6,miR-743b-3p,79,✓
Creb5,cAMP responsive element binding protein 5,miR-743b-3p,79,✓
BC051142,cDNA sequence BC051142,miR-743b-3p,79,
Jade2,jade family PHD finger 2,miR-743b-3p,79,✓
Fam19a3,"family with sequence similarity 19, member A3",miR-743b-3p,79,✓
Etv6,ets variant 6,miR-743b-3p,79,✓
Rc3h1,RING CCCH (C3H) domains 1,miR-743b-3p,79,✓
Necab1,N-terminal EF-hand calcium binding protein 1,miR-743b-3p,79,✓
Apln,apelin,miR-743b-3p,79,✓
Slc16a4,"solute carrier family 16 (monocarboxylic acid transporters), member 4",miR-743b-3p,79,✓
Efhd1,EF hand domain containing 1,miR-743b-3p,79,✓
Dusp19,dual specificity phosphatase 19,miR-743b-3p,79,✓
Mmp13,matrix metallopeptidase 13,miR-743b-3p,79,✓
Krt33a,keratin 33A,miR-743b-3p,79,✓
Slc30a7,"solute carrier family 30 (zinc transporter), member 7",miR-743b-3p,79,✓
Zmynd8,"zinc finger, MYND-type containing 8",miR-743b-3p,79,✓
Heph,hephaestin,miR-743b-3p,79,✓
Thsd7b,"thrombospondin, type I, domain containing 7B",miR-743b-3p,79,✓
Grm2,"glutamate receptor, metabotropic 2",miR-743b-3p,79,✓
Ubn2,ubinuclein 2,miR-743b-3p,79,✓
Usp21,ubiquitin specific peptidase 21,miR-743b-3p,79,✓
Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2,miR-743b-3p,79,✓
Atxn1l,ataxin 1-like,miR-743b-3p,79,✓
Camkk1,"calcium/calmodulin-dependent protein kinase kinase 1, alpha",miR-743b-3p,79,✓
37865,septin 3,miR-743b-3p,79,
Qdpr,quinoid dihydropteridine reductase,miR-743b-3p,79,✓
Lmtk2,lemur tyrosine kinase 2,miR-743b-3p,79,✓
D430041D05Rik,RIKEN cDNA D430041D05 gene,miR-743b-3p,79,
Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1",miR-1981-3p,79,✓
Slc12a2,"solute carrier family 12, member 2",miR-1981-3p,79,✓
Blzf1,basic leucine zipper nuclear factor 1,miR-1981-3p,79,✓
Kmt2c,lysine (K)-specific methyltransferase 2C,miR-192-3p,79,✓
Cipc,"CLOCK interacting protein, circadian",miR-192-3p,79,✓
Nr2f2,"nuclear receptor subfamily 2, group F, member 2",miR-192-3p,79,✓
Pcdh10,protocadherin 10,miR-192-3p,79,✓
Nptn,neuroplastin,miR-192-3p,79,✓
Golph3,golgi phosphoprotein 3,miR-192-3p,79,✓
Zbtb6,zinc finger and BTB domain containing 6,miR-192-3p,79,✓
Mecom,MDS1 and EVI1 complex locus,miR-192-3p,79,✓
Gm14326,predicted gene 14326,miR-192-3p,79,
Map3k2,mitogen-activated protein kinase kinase kinase 2,miR-547-3p,79,✓
Zfp747,zinc finger protein 747,miR-547-3p,79,
Naa15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",miR-547-3p,79,✓
Pxn,paxillin,miR-547-3p,79,✓
Zfp710,zinc finger protein 710,miR-547-3p,79,
Rnf169,ring finger protein 169,miR-547-3p,79,✓
Fgf9,fibroblast growth factor 9,miR-547-3p,79,✓
Ing2,"inhibitor of growth family, member 2",miR-547-3p,79,✓
Fam196a,"family with sequence similarity 196, member A",miR-547-3p,79,✓
Kitl,kit ligand,miR-547-3p,79,
Fam91a1,"family with sequence similarity 91, member A1",miR-547-3p,79,✓
Hmbox1,homeobox containing 1,miR-672-3p,79,✓
Ehf,ets homologous factor,miR-672-3p,79,✓
Nrp2,neuropilin 2,miR-672-3p,79,✓
Serinc3,serine incorporator 3,miR-672-3p,79,✓
Rpl21,ribosomal protein L21,miR-672-3p,79,✓
Hypk,huntingtin interacting protein K,miR-672-3p,79,✓
Xaf1,XIAP associated factor 1,miR-672-3p,79,✓
Gas7,growth arrest specific 7,miR-672-3p,79,✓
Nudt11,nudix (nucleoside diphosphate linked moiety X)-type motif 11,miR-672-3p,79,✓
Unc5a,unc-5 netrin receptor A,miR-672-3p,79,✓
Syt11,synaptotagmin XI,miR-672-3p,79,✓
Prtg,protogenin,miR-672-3p,79,✓
Agpat4,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",miR-672-3p,79,✓
Slc47a1,"solute carrier family 47, member 1",miR-672-3p,79,✓
Pitx2,paired-like homeodomain transcription factor 2,miR-672-3p,79,✓
Cyp2ab1,"cytochrome P450, family 2, subfamily ab, polypeptide 1",miR-672-3p,79,
Has2,hyaluronan synthase 2,miR-672-3p,79,✓
Bend3,BEN domain containing 3,miR-672-3p,79,✓
Zfp157,zinc finger protein 157,miR-125a-3p,79,
Igf2bp2,insulin-like growth factor 2 mRNA binding protein 2,miR-125a-3p,79,✓
Dhodh,dihydroorotate dehydrogenase,miR-125a-3p,79,✓
Grin2d,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)",miR-125a-3p,79,✓
Htr5a,5-hydroxytryptamine (serotonin) receptor 5A,miR-125a-3p,79,✓
Atf2,activating transcription factor 2,miR-125a-3p,79,✓
Tagap1,T cell activation GTPase activating protein 1,miR-92b-3p,79,✓
Hoxb1,homeobox B1,miR-92b-3p,79,✓
Sdr9c7,"4short chain dehydrogenase/reductase family 9C, member 7",miR-92b-3p,79,✓
Arpp19,cAMP-regulated phosphoprotein 19,miR-92b-3p,79,✓
Rimbp2,RIMS binding protein 2,miR-92b-3p,79,✓
Snx2,sorting nexin 2,miR-92b-3p,79,✓
Dusp6,dual specificity phosphatase 6,miR-92b-3p,79,✓
Ddhd1,DDHD domain containing 1,miR-92b-3p,79,✓
Dpy19l1,dpy-19-like 1 (C. elegans),miR-744-3p,79,✓
Cops2,COP9 signalosome subunit 2,miR-744-3p,79,✓
Bahd1,bromo adjacent homology domain containing 1,miR-301a-3p,79,✓
Zfp91,zinc finger protein 91,miR-301a-3p,79,✓
AU040320,expressed sequence AU040320,miR-301a-3p,79,
Dennd4c,DENN/MADD domain containing 4C,miR-301a-3p,79,✓
Spata2,spermatogenesis associated 2,miR-301a-3p,79,✓
Rnf165,ring finger protein 165,miR-301a-3p,79,✓
Tnrc6a,trinucleotide repeat containing 6a,miR-301a-3p,79,✓
Spock1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1",miR-301a-3p,79,✓
Sash1,SAM and SH3 domain containing 1,miR-301a-3p,79,✓
Sort1,sortilin 1,miR-743b-3p,78,✓
Luzp1,leucine zipper protein 1,miR-743b-3p,78,✓
Sun1,Sad1 and UNC84 domain containing 1,miR-743b-3p,78,✓
Cybb,"cytochrome b-245, beta polypeptide",miR-743b-3p,78,✓
Barhl2,BarH like homeobox 2,miR-743b-3p,78,✓
Atxn3,ataxin 3,miR-743b-3p,78,✓
Peg10,paternally expressed 10,miR-743b-3p,78,✓
Fam208b,"family with sequence similarity 208, member B",miR-743b-3p,78,✓
Trmt2b,TRM2 tRNA methyltransferase 2B,miR-743b-3p,78,✓
Rtkn2,rhotekin 2,miR-743b-3p,78,✓
Washc4,WASH complex subunit 4,miR-743b-3p,78,✓
Egf,epidermal growth factor,miR-743b-3p,78,✓
Ccdc191,coiled-coil domain containing 191,miR-743b-3p,78,✓
Slc12a7,"solute carrier family 12, member 7",miR-743b-3p,78,✓
Zcchc8,"zinc finger, CCHC domain containing 8",miR-743b-3p,78,✓
Smarcad1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",miR-743b-3p,78,✓
Rap1b,RAS related protein 1b,miR-743b-3p,78,✓
Osbpl8,oxysterol binding protein-like 8,miR-743b-3p,78,✓
Tceal5,transcription elongation factor A (SII)-like 5,miR-743b-3p,78,✓
Slc16a6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",miR-743b-3p,78,✓
Prkca,"protein kinase C, alpha",miR-743b-3p,78,✓
Gpx5,glutathione peroxidase 5,miR-1981-3p,78,✓
Mis12,MIS12 kinetochore complex component,miR-1981-3p,78,✓
Abcg1,ATP binding cassette subfamily G member 1,miR-1981-3p,78,✓
Synj2bp,synaptojanin 2 binding protein,miR-1981-3p,78,✓
Fam241a,"family with sequence similarity 241, member A",miR-1981-3p,78,✓
Nlrp2,"NLR family, pyrin domain containing 2",miR-192-3p,78,✓
Sfxn1,sideroflexin 1,miR-192-3p,78,✓
Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit",miR-192-3p,78,✓
Dab1,disabled 1,miR-192-3p,78,✓
Dennd5b,DENN/MADD domain containing 5B,miR-192-3p,78,✓
Fam92b,"family with sequence similarity 92, member B",miR-192-3p,78,✓
Hmgb1,high mobility group box 1,miR-192-3p,78,✓
Ms4a4d,"membrane-spanning 4-domains, subfamily A, member 4D",miR-192-3p,78,
Smtnl2,smoothelin-like 2,miR-192-3p,78,✓
Igf2bp3,insulin-like growth factor 2 mRNA binding protein 3,miR-192-3p,78,✓
Gnpda2,glucosamine-6-phosphate deaminase 2,miR-192-3p,78,✓
Adam12,a disintegrin and metallopeptidase domain 12 (meltrin alpha),miR-547-3p,78,✓
Yes1,"YES proto-oncogene 1, Src family tyrosine kinase",miR-547-3p,78,✓
Zfhx4,zinc finger homeodomain 4,miR-547-3p,78,✓
Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",miR-547-3p,78,✓
Spag9,sperm associated antigen 9,miR-547-3p,78,✓
Slc20a2,"solute carrier family 20, member 2",miR-547-3p,78,✓
Ganab,alpha glucosidase 2 alpha neutral subunit,miR-672-3p,78,✓
Bivm,"basic, immunoglobulin-like variable motif containing",miR-672-3p,78,✓
Ccdc92b,coiled-coil domain containing 92B,miR-672-3p,78,✓
Cul1,cullin 1,miR-672-3p,78,✓
Hmgcl,3-hydroxy-3-methylglutaryl-Coenzyme A lyase,miR-672-3p,78,✓
Tbc1d24,"TBC1 domain family, member 24",miR-672-3p,78,✓
Twf2,twinfilin actin binding protein 2,miR-672-3p,78,✓
Rsl24d1,ribosomal L24 domain containing 1,miR-672-3p,78,✓
Gtpbp2,GTP binding protein 2,miR-672-3p,78,✓
Prx,periaxin,miR-672-3p,78,✓
Stmnd1,stathmin domain containing 1,miR-672-3p,78,✓
Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",miR-672-3p,78,✓
Ash1l,ASH1 like histone lysine methyltransferase,miR-672-3p,78,✓
Gli3,GLI-Kruppel family member GLI3,miR-672-3p,78,✓
Apold1,apolipoprotein L domain containing 1,miR-672-3p,78,✓
Setd5,SET domain containing 5,miR-672-3p,78,✓
Kif3a,kinesin family member 3A,miR-672-3p,78,✓
Gusb,"glucuronidase, beta",miR-672-3p,78,✓
Rfc2,replication factor C (activator 1) 2,miR-672-3p,78,✓
Pot1a,protection of telomeres 1A,miR-672-3p,78,
Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family),miR-672-3p,78,✓
Rgs2,regulator of G-protein signaling 2,miR-672-3p,78,✓
Psmb6,"proteasome (prosome, macropain) subunit, beta type 6",miR-672-3p,78,✓
Pear1,platelet endothelial aggregation receptor 1,miR-672-3p,78,✓
Bcl2l14,BCL2-like 14 (apoptosis facilitator),miR-672-3p,78,✓
Adarb1,"adenosine deaminase, RNA-specific, B1",miR-672-3p,78,✓
Mfsd7a,major facilitator superfamily domain containing 7A,miR-125a-3p,78,
Zfp704,zinc finger protein 704,miR-125a-3p,78,
2900011O08Rik,RIKEN cDNA 2900011O08 gene,miR-125a-3p,78,
Neb,nebulin,miR-125a-3p,78,✓
Trim31,tripartite motif-containing 31,miR-125a-3p,78,✓
Neu3,neuraminidase 3,miR-125a-3p,78,✓
Nfatc2,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2",miR-125a-3p,78,✓
Zfp280d,zinc finger protein 280D,miR-125a-3p,78,
Ttll7,"tubulin tyrosine ligase-like family, member 7",miR-92b-3p,78,✓
Zfp804a,zinc finger protein 804A,miR-92b-3p,78,
Dscaml1,DS cell adhesion molecule like 1,miR-92b-3p,78,✓
D1Ertd622e,"DNA segment, Chr 1, ERATO Doi 622, expressed",miR-92b-3p,78,
Pde10a,phosphodiesterase 10A,miR-92b-3p,78,✓
Rab14,"RAB14, member RAS oncogene family",miR-92b-3p,78,✓
Zfp677,zinc finger protein 677,miR-92b-3p,78,
Lonrf3,LON peptidase N-terminal domain and ring finger 3,miR-92b-3p,78,✓
Eif4g2,"eukaryotic translation initiation factor 4, gamma 2",miR-92b-3p,78,✓
Bmp3,bone morphogenetic protein 3,miR-92b-3p,78,✓
Ttc39b,tetratricopeptide repeat domain 39B,miR-92b-3p,78,✓
Ifi214,interferon activated gene 214,miR-92b-3p,78,
Zc3h12c,zinc finger CCCH type containing 12C,miR-744-3p,78,✓
BC048403,cDNA sequence BC048403,miR-744-3p,78,
Kctd21,potassium channel tetramerisation domain containing 21,miR-744-3p,78,✓
Anapc16,anaphase promoting complex subunit 16,miR-744-3p,78,✓
Zfp800,zinc finger protein 800,miR-301a-3p,78,
Gpt2,glutamic pyruvate transaminase (alanine aminotransferase) 2,miR-301a-3p,78,✓
Rtca,RNA 3'-terminal phosphate cyclase,miR-301a-3p,78,✓
Atg14,autophagy related 14,miR-301a-3p,78,✓
Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2,miR-301a-3p,78,✓
Cyyr1,cysteine and tyrosine-rich protein 1,miR-301a-3p,78,✓
Cblb,Casitas B-lineage lymphoma b,miR-301a-3p,78,✓
Zfp131,zinc finger protein 131,miR-301a-3p,78,
Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1",miR-743b-3p,77,✓
Ghr,growth hormone receptor,miR-743b-3p,77,✓
Slc6a11,"solute carrier family 6 (neurotransmitter transporter, GABA), member 11",miR-743b-3p,77,✓
Rfx3,"regulatory factor X, 3 (influences HLA class II expression)",miR-743b-3p,77,✓
Nr4a3,"nuclear receptor subfamily 4, group A, member 3",miR-743b-3p,77,✓
Hdac9,histone deacetylase 9,miR-743b-3p,77,✓
Anp32e,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",miR-743b-3p,77,✓
Ccpg1,cell cycle progression 1,miR-743b-3p,77,✓
Nadk2,"NAD kinase 2, mitochondrial",miR-743b-3p,77,✓
Mbd3l2,methyl-CpG binding domain protein 3-like 2,miR-743b-3p,77,✓
Hoxc8,homeobox C8,miR-743b-3p,77,✓
Anapc11,anaphase promoting complex subunit 11,miR-743b-3p,77,✓
Alas1,aminolevulinic acid synthase 1,miR-743b-3p,77,✓
Kat2b,K(lysine) acetyltransferase 2B,miR-743b-3p,77,✓
Ncor1,nuclear receptor co-repressor 1,miR-743b-3p,77,✓
Dlg3,discs large MAGUK scaffold protein 3,miR-1981-3p,77,✓
Ttc30a1,tetratricopeptide repeat domain 30A1,miR-1981-3p,77,
Tmem263,transmembrane protein 263,miR-1981-3p,77,✓
Plcxd2,"phosphatidylinositol-specific phospholipase C, X domain containing 2",miR-192-3p,77,✓
Cdk6,cyclin-dependent kinase 6,miR-192-3p,77,✓
Zdhhc21,"zinc finger, DHHC domain containing 21",miR-192-3p,77,✓
Uso1,USO1 vesicle docking factor,miR-192-3p,77,✓
Inpp5f,inositol polyphosphate-5-phosphatase F,miR-192-3p,77,✓
Scn8a,"sodium channel, voltage-gated, type VIII, alpha",miR-192-3p,77,✓
Amd2,S-adenosylmethionine decarboxylase 2,miR-192-3p,77,
B230219D22Rik,RIKEN cDNA B230219D22 gene,miR-547-3p,77,
Atxn1,ataxin 1,miR-547-3p,77,✓
Ubp1,upstream binding protein 1,miR-547-3p,77,✓
Rbpj,recombination signal binding protein for immunoglobulin kappa J region,miR-547-3p,77,✓
Wdr13,WD repeat domain 13,miR-547-3p,77,✓
Atp10a,"ATPase, class V, type 10A",miR-547-3p,77,✓
